"STATISTIC Label","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2019 April","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","293.79"
"Feed Stuff Price","2019 April","Cattle fattening meal (13-15% protein)","Euro per Tonne","288.5"
"Feed Stuff Price","2019 May","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","289.5"
"Feed Stuff Price","2019 May","Cattle fattening meal (13-15% protein)","Euro per Tonne","285.36"
"Feed Stuff Price","2019 June","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","287.72"
"Feed Stuff Price","2019 June","Cattle fattening meal (13-15% protein)","Euro per Tonne","283.89"
"Feed Stuff Price","2019 July","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","286.67"
"Feed Stuff Price","2019 July","Cattle fattening meal (13-15% protein)","Euro per Tonne","282.56"
"Feed Stuff Price","2019 August","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","284.41"
"Feed Stuff Price","2019 August","Cattle fattening meal (13-15% protein)","Euro per Tonne","282.11"
"Feed Stuff Price","2019 September","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","281.18"
"Feed Stuff Price","2019 September","Cattle fattening meal (13-15% protein)","Euro per Tonne","276.06"
"Feed Stuff Price","2019 October","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","277.24"
"Feed Stuff Price","2019 October","Cattle fattening meal (13-15% protein)","Euro per Tonne","271.83"
"Feed Stuff Price","2019 November","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","277.06"
"Feed Stuff Price","2019 November","Cattle fattening meal (13-15% protein)","Euro per Tonne","270.17"
"Feed Stuff Price","2019 December","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","276.47"
"Feed Stuff Price","2019 December","Cattle fattening meal (13-15% protein)","Euro per Tonne","270.39"
"Feed Stuff Price","2020 January","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","276.18"
"Feed Stuff Price","2020 January","Cattle fattening meal (13-15% protein)","Euro per Tonne","269.65"
"Feed Stuff Price","2020 February","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","275.71"
"Feed Stuff Price","2020 February","Cattle fattening meal (13-15% protein)","Euro per Tonne","269.65"
"Feed Stuff Price","2020 March","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","276.59"
"Feed Stuff Price","2020 March","Cattle fattening meal (13-15% protein)","Euro per Tonne","271.12"
"Feed Stuff Price","2020 April","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","280.12"
"Feed Stuff Price","2020 April","Cattle fattening meal (13-15% protein)","Euro per Tonne","275.06"
"Feed Stuff Price","2020 May","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","281.59"
"Feed Stuff Price","2020 May","Cattle fattening meal (13-15% protein)","Euro per Tonne","275.29"
"Feed Stuff Price","2020 June","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","282.35"
"Feed Stuff Price","2020 June","Cattle fattening meal (13-15% protein)","Euro per Tonne","276"
"Feed Stuff Price","2020 July","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","282.35"
"Feed Stuff Price","2020 July","Cattle fattening meal (13-15% protein)","Euro per Tonne","275.59"
"Feed Stuff Price","2020 August","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","283.24"
"Feed Stuff Price","2020 August","Cattle fattening meal (13-15% protein)","Euro per Tonne","275.88"
"Feed Stuff Price","2020 September","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","281.76"
"Feed Stuff Price","2020 September","Cattle fattening meal (13-15% protein)","Euro per Tonne","275"
"Feed Stuff Price","2020 October","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","282.82"
"Feed Stuff Price","2020 October","Cattle fattening meal (13-15% protein)","Euro per Tonne","276.25"
"Feed Stuff Price","2020 November","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","285.63"
"Feed Stuff Price","2020 November","Cattle fattening meal (13-15% protein)","Euro per Tonne","279.47"
"Feed Stuff Price","2020 December","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","289.63"
"Feed Stuff Price","2020 December","Cattle fattening meal (13-15% protein)","Euro per Tonne","284.4"
"Feed Stuff Price","2021 January","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","294"
"Feed Stuff Price","2021 January","Cattle fattening meal (13-15% protein)","Euro per Tonne","288.73"
"Feed Stuff Price","2021 February","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","297.44"
"Feed Stuff Price","2021 February","Cattle fattening meal (13-15% protein)","Euro per Tonne","293.4"
"Feed Stuff Price","2021 March","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","301"
"Feed Stuff Price","2021 March","Cattle fattening meal (13-15% protein)","Euro per Tonne","294.87"
"Feed Stuff Price","2021 April","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","305.38"
"Feed Stuff Price","2021 April","Cattle fattening meal (13-15% protein)","Euro per Tonne","299.2"
"Feed Stuff Price","2021 May","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","310.75"
"Feed Stuff Price","2021 May","Cattle fattening meal (13-15% protein)","Euro per Tonne","304.73"
"Feed Stuff Price","2021 June","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","313.44"
"Feed Stuff Price","2021 June","Cattle fattening meal (13-15% protein)","Euro per Tonne","308.13"
"Feed Stuff Price","2021 July","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","317.38"
"Feed Stuff Price","2021 July","Cattle fattening meal (13-15% protein)","Euro per Tonne","310.47"
"Feed Stuff Price","2021 August","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","317.75"
"Feed Stuff Price","2021 August","Cattle fattening meal (13-15% protein)","Euro per Tonne","310.73"
"Feed Stuff Price","2021 September","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","324.56"
"Feed Stuff Price","2021 September","Cattle fattening meal (13-15% protein)","Euro per Tonne","320.4"
"Feed Stuff Price","2021 October","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","329.13"
"Feed Stuff Price","2021 October","Cattle fattening meal (13-15% protein)","Euro per Tonne","325.73"
"Feed Stuff Price","2021 November","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","333.38"
"Feed Stuff Price","2021 November","Cattle fattening meal (13-15% protein)","Euro per Tonne","330.1"
"Feed Stuff Price","2021 December","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","345.13"
"Feed Stuff Price","2021 December","Cattle fattening meal (13-15% protein)","Euro per Tonne","339.3"
"Feed Stuff Price","2022 January","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","356"
"Feed Stuff Price","2022 January","Cattle fattening meal (13-15% protein)","Euro per Tonne","350.63"
"Feed Stuff Price","2022 February","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","362.99"
"Feed Stuff Price","2022 February","Cattle fattening meal (13-15% protein)","Euro per Tonne","352.83"
"Feed Stuff Price","2022 March","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","369.87"
"Feed Stuff Price","2022 March","Cattle fattening meal (13-15% protein)","Euro per Tonne","365.63"
"Feed Stuff Price","2022 April","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","391.76"
"Feed Stuff Price","2022 April","Cattle fattening meal (13-15% protein)","Euro per Tonne","389.5"
"Feed Stuff Price","2022 May","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","411.5"
"Feed Stuff Price","2022 May","Cattle fattening meal (13-15% protein)","Euro per Tonne","404.37"
"Feed Stuff Price","2022 June","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","418.06"
"Feed Stuff Price","2022 June","Cattle fattening meal (13-15% protein)","Euro per Tonne","413.61"
"Feed Stuff Price","2022 July","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","424.88"
"Feed Stuff Price","2022 July","Cattle fattening meal (13-15% protein)","Euro per Tonne","428.75"
"Feed Stuff Price","2022 August","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","432.56"
"Feed Stuff Price","2022 August","Cattle fattening meal (13-15% protein)","Euro per Tonne","424.82"
"Feed Stuff Price","2022 September","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","432.59"
"Feed Stuff Price","2022 September","Cattle fattening meal (13-15% protein)","Euro per Tonne","424.46"
"Feed Stuff Price","2022 October","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","439.65"
"Feed Stuff Price","2022 October","Cattle fattening meal (13-15% protein)","Euro per Tonne","430.93"
